element,web_name,team,team_name,next_opponent_id,next_opponent_name,is_home,opponent_strength,now_cost,selected_by_percent,element_type,code,team_code,opponent_team_code,ict_index,status,chance_of_playing_next_round,news,recent_form,recent_clean_sheets,recent_saves,recent_goals_conceded,recent_goals_scored,recent_assists,recent_threat,recent_influence,recent_creativity,recent_penalties_saved
398,Danns,12,Liverpool,6,Brighton,1,3,43,0.1,4,500058,14,36,0.0,i,0.0,Hamstring injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,Isak,12,Liverpool,6,Brighton,1,3,104,4.7,4,219168,14,36,21.2,a,100.0,,2.4,0.2,0.0,0.8,0.2,0.0,14.8,7.880000000000001,2.88,0.0
661,Ekitiké,12,Liverpool,6,Brighton,1,3,84,13.3,4,510663,14,36,58.7,a,100.0,,3.4,0.0,0.0,1.0,0.4,0.0,23.4,16.16,8.2,0.0
686,Ngumoha,12,Liverpool,6,Brighton,1,3,43,0.5,3,611922,14,36,10.4,a,,,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.0,2.2600000000000002,0.0
692,Leoni,12,Liverpool,6,Brighton,1,3,49,0.0,2,647681,14,36,0.0,i,0.0,Knee injury - Expected back 01 Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,Morrison,12,Liverpool,6,Brighton,1,3,45,0.0,3,596042,14,36,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Steele,6,Brighton,12,Liverpool,0,4,43,0.3,1,49262,36,14,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Verbruggen,6,Brighton,12,Liverpool,0,4,44,5.0,1,489639,36,14,38.8,a,,,4.8,0.4,3.6,1.2,0.0,0.0,0.0,35.4,0.0,0.2
140,McGill,6,Brighton,12,Liverpool,0,4,39,0.3,1,209288,36,14,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Rushworth,6,Brighton,12,Liverpool,0,4,40,0.0,1,472739,36,14,0.0,u,0.0,Has joined Coventry City on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Scherpen,6,Brighton,12,Liverpool,0,4,40,0.0,1,240514,36,14,0.0,u,0.0,Has joined Union SG permanently,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Boscagli,6,Brighton,12,Liverpool,0,4,42,0.1,2,204120,36,14,2.6,a,,,0.2,0.0,0.0,0.2,0.0,0.0,0.4,3.12,1.58,0.0
144,Coppola,6,Brighton,12,Liverpool,0,4,42,0.1,2,550090,36,14,0.8,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,De Cuyper,6,Brighton,12,Liverpool,0,4,43,2.0,2,465730,36,14,52.0,a,100.0,,5.0,0.4,0.0,0.8,0.2,0.0,6.4,17.16,31.939999999999998,0.0
146,Dunk,6,Brighton,12,Liverpool,0,4,45,1.1,2,83299,36,14,35.6,a,,,2.8,0.4,0.0,1.0,0.0,0.0,3.0,20.2,3.6799999999999997,0.0
147,Estupiñan,6,Brighton,12,Liverpool,0,4,45,0.0,2,204214,36,14,0.0,u,0.0,Has joined AC Milan permanently,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,F.Kadıoğlu,6,Brighton,12,Liverpool,0,4,44,0.2,2,231416,36,14,33.2,a,,,3.4,0.4,0.0,1.0,0.0,0.0,6.0,9.84,6.360000000000001,0.0
150,Lamptey,6,Brighton,12,Liverpool,0,4,44,0.1,2,232792,36,14,0.0,u,0.0,has joined Fiorentina permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Van Hecke,6,Brighton,12,Liverpool,0,4,45,3.4,2,469142,36,14,72.5,a,,,6.0,0.4,0.0,1.2,0.4,0.2,19.0,33.239999999999995,7.5200000000000005,0.0
152,Veltman,6,Brighton,12,Liverpool,0,4,43,0.1,2,111478,36,14,10.8,a,100.0,,0.6,0.0,0.0,0.2,0.0,0.0,0.0,2.2800000000000002,0.24,0.0
153,Webster,6,Brighton,12,Liverpool,0,4,44,0.0,2,110735,36,14,0.0,i,0.0,Knee injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Cashin,6,Brighton,12,Liverpool,0,4,40,0.0,2,439135,36,14,0.0,u,0.0,Has joined Birmingham on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
